age_years,local_population,distance_to_city,distance_to_town,distance_to_primary,distance_to_secondary,distance_to_tertiary,lat_deg,lon_deg,water_source_clean,water_tech_clean,water_source_category,water_tech_category,clean_adm1,is_urban,is_non_functional,clean_adm2,report_year,wpdx_id
13.0,411.0,166408.93714211692,12376.81143330983,98988.84977504784,5726.21285518175,16315.082729870282,-17.35525,27.34066,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9J8VR+W73
13.0,403.0,166696.87815502705,12752.321389083952,98603.79214649658,6086.575404600558,16136.282548275827,-17.357,27.34418,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9J8VV+6M3
0.0,107.0,177148.035773443,22879.28960418,88982.3337963589,10609.38819260695,7046.298532195136,-17.32722,27.43747,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2012,5GJ9MCFP+4X9
1.0,271.0,171390.15936882226,16804.91378331295,97840.57593517029,1166.5629044102047,10613.384713894624,-17.2776,27.36005,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2012,5GJ9P9C6+X27
0.0,2174.0,182044.6061198761,27272.094693632163,87978.72953872399,7951.87242061254,74.63050784968443,-17.25454,27.45833,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2014,5GJ9PFW5+58P
0.0,29.0,153284.11543241027,17841.887020970855,121829.1017112345,16633.466607739687,3288.666350346068,-17.21454,27.14233,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Choma,2014,5GJ9Q4PR+5WP
5.0,329.0,176439.6044982967,22798.039780639992,96202.3756032324,387.1433776337994,7330.062553659082,-17.22084,27.38669,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9Q9HP+MM8
0.0,403.0,181912.52333054776,27402.96033671916,89713.7361509505,5857.059917413202,1758.3866676106088,-17.23063,27.44692,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2012,5GJ9QC9W+PQV
2.0,65.0,178581.96797520388,25512.444688691918,95806.95233556768,35.98817645521025,4733.1831560371,-17.19519,27.39687,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9R93W+WPH
4.0,1531.0,180787.51186259813,29159.96232017934,96886.59305892338,989.4789503237008,1095.011964913991,-17.15216,27.39889,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9R9XX+4HJ
0.0,49.0,171792.03689010176,26879.422038096414,109314.43247049682,6561.309393108774,13007.73396558204,-17.12,27.287,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2015,5GJ9V7JP+2R2
0.0,49.0,171812.5145141282,26927.684812065432,109333.41555977068,6547.494874166704,13022.979572494518,-17.11954,27.28696,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2015,5GJ9V7JP+5QP
0.0,41.0,170401.8697994755,27393.06689771041,111625.27072659112,8201.293145742831,12296.463752391495,-17.1112,27.2671,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2015,5GJ9V7Q8+GRH
5.0,321.0,183441.80782765007,31446.73154512884,94697.96128543784,1152.6249983535945,1089.8112899574608,-17.14479,27.42287,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Sinazongwe,2013,5GJ9VC4F+34Q
