lat_deg,lon_deg,status_id,report_date,source,water_source_clean,water_tech_clean,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,clean_adm4,activity_id,scheme_id,wpdx_id,install_year,installer,rehab_year,rehabilitator,management_clean,pay_clean,status_clean,fecal_coliform_presence,fecal_coliform_value,subjective_quality,notes,local_population,assigned_population,facility_type,water_source_category,water_tech_category,created_timestamp,dataset_title,rehab_priority,would_gain_access,usage_cap,criticality,pressure,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,is_urban,days_since_report,staleness,prediction_yes_0y,prediction_yes_2y,prediction_no_0y,prediction_no_2y,predicted_status_0y,predicted_status_2y,predicted_category
#geo+lat,#geo+lon,#indicator+water_avail+bool,#date+reported,#meta+source,#indicator+water_source,#indicator+water_tech,#country+code+v_iso3,#country+name,#adm1+name,#adm2+name,#adm3+name,#adm4+name,#loc+water_point+id,#loc+water_point+scheme,#loc+wpdx+id,#date+install+year,#org+installer,#date+rehab+year,#org+rehabilitator,#indicator+management,#indicator+pay,#indicator+water_avail_detail,#indicator+fecal_coliform_presence+bool,#indicator+fecal_coliform_value+num,#indicator+subjective_quality,#description+notes,#indicator+pop_within_1km+num,#reached+assigned_pop,#indicator+facility_type,#indicator+water_source_category,#indicator+water_tech_category,#date+uploaded_to_WPdx,#meta+wpdx+dataset+title,#affected+rehab_priority,#inneed+would_gain_access,#indicator+usage_cap,#indicator+criticality,#indicator+pressure,#indicator+distance_to_primary,#indicator+distance_to_secondary,#indicator+distance_to_tertiary,#indicator+distance_to_city,#indicator+distance_to_town,#indicator+is_urban,#indicator+days_since_report,#indicator+staleness,#indicator+prediction_yes_0y,#indicator+prediction_yes_2y,#indicator+prediction_no_0y,#indicator+prediction_no_2y,#indicator+predicted_status_0y,#indicator+predicted_status_2y,#indicator+predicted_category
-15.722716666666667,28.10991333333333,Yes,2014-10-23,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFJC10B,,5GPC74G5+WX7,2002,JICA,,,,,Functional,,,Taste: Bitter but Drinkable Color: Normal,,1027,501,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.4878286270691334,1.67,27594.90003223574,21851.41233310825,1561.2116324605345,38598.38407000263,7433.115396278575,False,4294,25.832793099177128,,,,,,,
-15.70987,28.14213666666667,Yes,2014-10-27,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFJCLB,,5GPC74RR+3V2,2014,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,315,300,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.9523809523809523,1.0,24800.296852181462,20996.927868869425,1995.9448810249155,35773.664083117284,5243.434188454676,False,4290,25.86538499043673,,,,,,,
-15.748850000000001,28.188463333333335,Yes,2014-11-21,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFKG1B,,5GPC752Q+F98,2009,Child Fund,,,,,Functional,,,Taste: Good Color: Normal,,2397,977,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.4075928243637881,3.256666666666667,27523.97770934769,22310.32969156059,11.227457751222284,38129.60523196332,1468.2321027021176,True,4265,26.070017983994937,,,,,,,
-15.746450000000001,28.189901666666668,Yes,2014-11-21,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFKF3B,,5GPC753Q+CXC,2006,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,2357,683,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.28977513788714465,2.276666666666667,27235.682358972965,22613.88801825505,105.09731556117005,37832.861121518305,1556.5524452917896,True,4265,26.070017983994937,,,,,,,
-15.746191666666668,28.191968333333328,Yes,2014-11-21,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFKF2B,,5GPC753R+GQG,1996,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,1919,438,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.22824387701928087,1.46,27170.345061522657,22722.569552399982,21.767113874966782,37747.86616264693,1772.9633770775888,True,4265,26.070017983994937,,,,,,,
-15.743866666666667,28.191143333333336,Yes,2014-11-21,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFKF4B,,5GPC754R+FF2,2010,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,2569,1023,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.39820942000778514,3.41,26931.348977449565,22928.6429056311,216.47565698591634,37522.174477956396,1676.3191098703828,True,4265,26.070017983994937,,,,,,,
-15.741039999999998,28.16430666666667,Yes,2014-11-21,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFKF5B,,5GPC7557+HPM,2010,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,2894,2894,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,1.0,9.646666666666667,27261.578725859814,22046.04255701174,987.2306462334757,38076.60367410409,1261.2444440058541,True,4265,26.070017983994937,,,,,,,
-15.745525000000002,28.269176666666667,Yes,2012-01-01,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFLFUB,,5GPC7739+QMV,2010,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,474,408,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.8607594936708861,1.36,27002.50832184103,26978.371230169116,5301.009613719032,36440.33028001401,10038.178207132672,False,5320,18.694624060797143,,,,,,,
-15.732001666666667,28.267174999999998,Yes,2012-01-01,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFLFTB,,5GPC7798+5VV,2014,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,507,388,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.7652859960552268,1.2933333333333332,25490.771643216034,22731.714182429572,4856.694354785055,34954.24214706722,9920.432539885156,False,5320,18.694624060797143,,,,,,,
-15.718896666666668,28.255025,Yes,2012-01-01,SNV-Zambia,Borehole/Tubewell,Hand Pump - India Mark,ZMB,Zambia,Lusaka,Kafue,,,KFLFXB,,5GPC77J4+C2R,2009,GRZ,,,,,Functional,,,Taste: Good Color: Normal,,696,676,Improved,Well,Hand Pump,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,300,0.9712643678160919,2.2533333333333334,23895.14456198461,21134.45697382314,2907.7570263443854,33593.418607455555,8980.554392244672,False,5320,18.694624060797143,,,,,,,
